方法,参数,分类,解释,例子
option_margin,,期权保证金,,
option_margin_symbol,,期权保证金,,
stock_hk_company_profile_em,,东方财富-港股-证券资料,,
stock_hk_security_profile_em,,东方财富-港股-证券资料,,
bond_sh_buy_back_em,,东方财富网-行情中心-债券市场-质押式回购,,
bond_sz_buy_back_em,,东方财富网-行情中心-债券市场-质押式回购,,
bond_buy_back_hist_em,,东方财富网-行情中心-债券市场-质押式回购,,
stock_zh_a_gbjg_em,,东方财富-A股数据-股本结构,,
stock_zh_a_spot_em_async,,异步接口,,
stock_individual_fund_flow_rank_async,,异步接口,,
stock_board_concept_name_em_async,,异步接口,,
stock_individual_basic_info_xq,,雪球-个股-公司概况-公司简介,,
stock_individual_basic_info_hk_xq,,雪球-个股-公司概况-公司简介,,
stock_individual_basic_info_us_xq,,雪球-个股-公司概况-公司简介,,
index_global_hist_sina,,新浪财经-行情中心-环球市场,,
index_global_name_table,,新浪财经-行情中心-环球市场,,
index_global_hist_em,,东方财富网-行情中心-全球指数,,
index_global_spot_em,,东方财富网-行情中心-全球指数,,
forex_hist_em,,东方财富网-行情中心-外汇市场-所有汇率,,
forex_spot_em,,东方财富网-行情中心-外汇市场-所有汇率,,
stock_zh_ah_spot_em,,东方财富网-行情中心-沪深港通,,
stock_hsgt_sh_hk_spot_em,,东方财富网-行情中心-沪深港通,,
stock_financial_us_report_em,,东方财富-美股-财务分析-三大报表,,
stock_financial_us_analysis_indicator_em,,东方财富-美股-财务分析-三大报表,,
futures_hist_table_em,,期货行情-内盘-历史行情数据-东财,,
futures_hist_em,,期货行情-内盘-历史行情数据-东财,,
stock_hold_change_cninfo,,巨潮资讯-数据中心-专题统计-股东股本-股本变动,,
fund_fee_em,,基金费率,,
stock_value_em,,东方财富网-数据中心-估值分析-每日互动-每日互动-估值分析,,
volatility_yz_rv,,已实现波动率,,
rv_from_futures_zh_minute_sina,,已实现波动率,,
rv_from_stock_zh_a_hist_min_em,,已实现波动率,,
qdii_a_index_jsl,,QDII,,
qdii_e_index_jsl,,QDII,,
qdii_e_comm_jsl,,QDII,,
stock_news_main_cx,,财新网-财新数据通,,
spot_hog_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_year_trend_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_lean_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_three_way_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_crossbred_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_corn_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_soybean_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_mixed_feed_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
stock_hk_famous_spot_em,,知名港股,,
macro_stock_finance,,同花顺-数据中心-宏观数据-股票筹资,,
macro_rmb_loan,,同花顺-数据中心-宏观数据-股票筹资,,
macro_rmb_deposit,,同花顺-数据中心-宏观数据-股票筹资,,
stock_concept_cons_futu,,富途牛牛-主题投资-概念板块-成分股,,
option_comm_info,,商品期权手续费,,
option_comm_symbol,,商品期权手续费,,
option_daily_stats_sse,,上海证券交易所-产品-股票期权-每日统计,,
option_daily_stats_szse,,上海证券交易所-产品-股票期权-每日统计,,
fund_etf_spot_ths,,同花顺理财-基金数据-每日净值-ETF,,
stock_margin_account_info,,东方财富网-数据中心-融资融券-融资融券账户统计-两融账户信息,,
spot_price_qh,,现货走势,,
spot_price_table_qh,,现货走势,,
macro_info_ws,,华尔街见闻-日历-宏观,,
index_news_sentiment_scope,,数库-A股新闻情绪指数,,
index_hist_fund_sw,,申万宏源研究-申万指数-指数发布-基金指数-实时行情,,
index_realtime_fund_sw,,申万宏源研究-申万指数-指数发布-基金指数-实时行情,,
stock_info_cjzc_em,,东方财富-财经早餐,,
stock_info_global_em,,东方财富-财经早餐,,
stock_info_global_ths,,东方财富-财经早餐,,
stock_info_global_futu,,东方财富-财经早餐,,
stock_info_global_sina,,东方财富-财经早餐,,
stock_info_global_cls,,东方财富-财经早餐,,
stock_info_broker_sina,,东方财富-财经早餐,,
futures_contract_info_shfe,,期货交易-参数汇总查询,,
futures_contract_info_dce,,期货交易-参数汇总查询,,
futures_contract_info_czce,,期货交易-参数汇总查询,,
futures_contract_info_gfex,,期货交易-参数汇总查询,,
futures_contract_info_cffex,,期货交易-参数汇总查询,,
futures_contract_info_ine,,期货交易-参数汇总查询,,
futures_stock_shfe_js,,上海期货交易所-指定交割仓库-库存周报,,
stock_hsgt_fund_min_em,,东方财富-数据中心-沪深港通-市场概括-分时数据,,
futures_global_spot_em,,东方财富网-行情中心-期货市场-国际期货,,
futures_global_hist_em,,东方财富网-行情中心-期货市场-国际期货,,
stock_individual_spot_xq,,雪球行情数据,,
stock_hk_profit_forecast_et,,港股盈利预测,,
stock_zh_a_disclosure_relation_cninfo,,巨潮资讯-首页-公告查询-信息披露,,
stock_zh_a_disclosure_report_cninfo,,巨潮资讯-首页-公告查询-信息披露,,
stock_intraday_sina,,东财财富-分时数据,,
stock_zh_a_hist_tx,,股票日行情,,
stock_cyq_em,,筹码分布,,
stock_intraday_em,,东财财富-分时数据,,
index_us_stock_sina,,美股指数行情,,
stock_share_hold_change_bse,,董监高及相关人员持股变动,,
stock_share_hold_change_sse,,董监高及相关人员持股变动,,
stock_share_hold_change_szse,,董监高及相关人员持股变动,,
stock_research_report_em,,东方财富网-数据中心-研究报告-个股研报,,
stock_zdhtmx_em,,东方财富网-数据中心-重大合同-重大合同明细,,
stock_gddh_em,,东方财富网-数据中心-股东大会,,
stock_gsrl_gsdt_em,,东方财富网-数据中心-股市日历,,
stock_hold_management_detail_em,,东方财富网-数据中心-特色数据-高管持股,,
stock_hold_management_person_em,,东方财富网-数据中心-特色数据-高管持股,,
bond_cb_profile_sina,,新浪财经-债券-可转债,,
bond_cb_summary_sina,,新浪财经-债券-可转债,,
stock_sns_sseinfo,,上证e互动,,
stock_irm_cninfo,,互动易-提问与回答,,
stock_irm_ans_cninfo,,互动易-提问与回答,,
fund_announcement_personnel_em,,基金公告-人事公告,,
stock_esg_msci_sina,,新浪财经-ESG评级中心,,
stock_esg_rft_sina,,新浪财经-ESG评级中心,,
stock_esg_rate_sina,,新浪财经-ESG评级中心,,
stock_esg_zd_sina,,新浪财经-ESG评级中心,,
stock_esg_hz_sina,,新浪财经-ESG评级中心,,
fund_lof_hist_em,,LOF 行情数据,,
fund_lof_spot_em,,LOF 行情数据,,
fund_lof_hist_min_em,,LOF 行情数据,,
stock_financial_abstract_ths,,同花顺-财务指标-主要指标,,
stock_financial_debt_ths,,同花顺-财务指标-主要指标,,
stock_financial_benefit_ths,,同花顺-财务指标-主要指标,,
stock_financial_cash_ths,,同花顺-财务指标-主要指标,,
stock_management_change_ths,,同花顺-财务指标-主要指标,,
stock_shareholder_change_ths,,同花顺-财务指标-主要指标,,
stock_hk_index_spot_sina,,港股股票指数数据-新浪-东财,,
stock_hk_index_daily_em,,港股股票指数数据-新浪-东财,,
stock_hk_index_spot_em,,港股股票指数数据-新浪-东财,,
stock_hk_index_daily_sina,,港股股票指数数据-新浪-东财,,
bond_zh_cov_info_ths,,同花顺-数据中心-可转债,,
stock_hk_fhpx_detail_ths,,同花顺-港股-分红派息,,
stock_fhps_detail_ths,,同花顺-分红融资,,
stock_bid_ask_em,,东方财富-行情报价,,
stock_profit_forecast_ths,,同花顺-盈利预测,,
futures_news_shmet,,期货资讯,,
stock_zyjs_ths,,主营介绍,,
fund_etf_hist_em,,东方财富-ETF 行情,,
fund_etf_hist_min_em,,东方财富-ETF 行情,,
fund_etf_spot_em,,东方财富-ETF 行情,,
stock_ebs_lg,,乐咕乐股-股债利差,,
fund_stock_position_lg,,乐咕乐股-基金仓位,,
fund_balance_position_lg,,乐咕乐股-基金仓位,,
fund_linghuo_position_lg,,乐咕乐股-基金仓位,,
stock_a_congestion_lg,,乐咕乐股-大盘拥挤度,,
stock_a_gxl_lg,,乐咕乐股-股息率-A 股股息率,,
stock_hk_gxl_lg,,乐咕乐股-股息率-A 股股息率,,
stock_restricted_release_stockholder_em,,东方财富-限售解禁股,,
stock_restricted_release_summary_em,,东方财富-限售解禁股,,
stock_restricted_release_detail_em,,东方财富-限售解禁股,,
stock_restricted_release_queue_em,,东方财富-限售解禁股,,
stock_board_industry_summary_ths,,同花顺行业一览表,,
index_hog_spot_price,,生猪市场价格指数,,
bond_info_detail_cm,,债券信息查询,,
bond_info_cm,,债券信息查询,,
bond_info_cm_query,,债券信息查询,,
index_realtime_sw,,申万宏源研究-指数系列,,
index_hist_sw,,申万宏源研究-指数系列,,
index_component_sw,,申万宏源研究-指数系列,,
index_min_sw,,申万宏源研究-指数系列,,
index_analysis_daily_sw,,申万宏源研究-指数系列,,
index_analysis_weekly_sw,,申万宏源研究-指数系列,,
index_analysis_monthly_sw,,申万宏源研究-指数系列,,
index_analysis_week_month_sw,,申万宏源研究-指数系列,,
index_option_50etf_qvix,,50ETF 期权波动率指数,,
index_option_300etf_min_qvix,,50ETF 期权波动率指数,,
index_option_300etf_qvix,,50ETF 期权波动率指数,,
index_option_50etf_min_qvix,,50ETF 期权波动率指数,,
index_option_1000index_min_qvix,,50ETF 期权波动率指数,,
index_option_1000index_qvix,,50ETF 期权波动率指数,,
index_option_100etf_min_qvix,,50ETF 期权波动率指数,,
index_option_100etf_qvix,,50ETF 期权波动率指数,,
index_option_300index_min_qvix,,50ETF 期权波动率指数,,
index_option_300index_qvix,,50ETF 期权波动率指数,,
index_option_500etf_min_qvix,,50ETF 期权波动率指数,,
index_option_500etf_qvix,,50ETF 期权波动率指数,,
index_option_50index_min_qvix,,50ETF 期权波动率指数,,
index_option_50index_qvix,,50ETF 期权波动率指数,,
index_option_cyb_min_qvix,,50ETF 期权波动率指数,,
index_option_cyb_qvix,,50ETF 期权波动率指数,,
index_option_kcb_min_qvix,,50ETF 期权波动率指数,,
index_option_kcb_qvix,,50ETF 期权波动率指数,,
fx_quote_baidu,,百度股市通-外汇-行情榜单,,
stock_buffett_index_lg,,乐估乐股-底部研究-巴菲特指标,,
stock_hot_search_baidu,,百度股市通-热搜股票,,
stock_zh_vote_baidu,,百度股市通- A 股或指数-股评-投票,,
stock_zh_valuation_baidu,,百度股市通-A 股-财务报表-估值数据,,
stock_hk_valuation_baidu,,百度股市通-港股-财务报表-估值数据,,
stock_profile_cninfo,,巨潮资讯-个股-公司概况,,
stock_ipo_summary_cninfo,,巨潮资讯-个股-上市相关,,
stock_allotment_cninfo,,巨潮资讯-数据浏览器-筹资指标-公司配股实施方案,,
stock_sgt_reference_exchange_rate_sse,,沪深港股通-参考汇率和结算汇率,,
stock_sgt_settlement_exchange_rate_sse,,沪深港股通-参考汇率和结算汇率,,
stock_sgt_reference_exchange_rate_szse,,沪深港股通-参考汇率和结算汇率,,
stock_sgt_settlement_exchange_rate_szse,,沪深港股通-参考汇率和结算汇率,,
bond_new_composite_index_cbond,,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数,,
bond_composite_index_cbond,,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数,,
stock_classify_sina,,行业板块,,
stock_zygc_em,,主营构成,,
currency_boc_safe,,人民币汇率中间价,,
option_risk_indicator_sse,,期权-上海证券交易所-风险指标,,
news_economic_baidu,,全球宏观事件,,
news_trade_notify_suspend_baidu,,全球宏观事件,,
news_report_time_baidu,,全球宏观事件,,
news_trade_notify_dividend_baidu,,全球宏观事件,,
stock_balance_sheet_by_report_em,,东方财富-股票-财务分析,,
stock_balance_sheet_by_yearly_em,,东方财富-股票-财务分析,,
stock_profit_sheet_by_report_em,,东方财富-股票-财务分析,,
stock_profit_sheet_by_quarterly_em,,东方财富-股票-财务分析,,
stock_profit_sheet_by_yearly_em,,东方财富-股票-财务分析,,
stock_cash_flow_sheet_by_report_em,,东方财富-股票-财务分析,,
stock_cash_flow_sheet_by_quarterly_em,,东方财富-股票-财务分析,,
stock_cash_flow_sheet_by_yearly_em,,东方财富-股票-财务分析,,
stock_balance_sheet_by_report_delisted_em,,东方财富-股票-财务分析,,
stock_profit_sheet_by_report_delisted_em,,东方财富-股票-财务分析,,
stock_cash_flow_sheet_by_report_delisted_em,,东方财富-股票-财务分析,,
stock_inner_trade_xq,,内部交易,,
stock_hot_deal_xq,,股票热度-雪球,,
stock_hot_follow_xq,,股票热度-雪球,,
stock_hot_tweet_xq,,股票热度-雪球,,
stock_lhb_hyyyb_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_detail_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_stock_detail_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_jgmmtj_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_stock_statistic_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_stock_detail_date_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_yybph_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_jgstatistic_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_traderstatistic_em,,东方财富-股票数据-龙虎榜,,
stock_lhb_yyb_detail_em,,东方财富-股票数据-龙虎榜,,
index_zh_a_hist,,指数行情数据,,
index_zh_a_hist_min_em,,指数行情数据,,
index_code_id_map_em,,指数行情数据,,
stock_hot_rank_detail_em,,东方财富个股人气榜-A股,,
stock_hot_rank_em,,东方财富个股人气榜-A股,,
stock_hot_rank_detail_realtime_em,,东方财富个股人气榜-A股,,
stock_hot_rank_relate_em,,东方财富个股人气榜-A股,,
stock_hot_keyword_em,,东方财富个股人气榜-A股,,
stock_hot_rank_latest_em,,东方财富个股人气榜-A股,,
stock_hot_up_em,,东方财富个股人气榜-A股,,
stock_hk_hot_rank_detail_em,,东方财富个股人气榜-港股,,
stock_hk_hot_rank_latest_em,,东方财富个股人气榜-港股,,
stock_hk_hot_rank_detail_realtime_em,,东方财富个股人气榜-港股,,
stock_hk_hot_rank_em,,东方财富个股人气榜-港股,,
index_pmi_com_cx,,财新指数,,
index_pmi_man_cx,,财新指数,,
index_pmi_ser_cx,,财新指数,,
index_dei_cx,,财新指数,,
index_ii_cx,,财新指数,,
index_si_cx,,财新指数,,
index_fi_cx,,财新指数,,
index_bi_cx,,财新指数,,
index_ci_cx,,财新指数,,
index_awpr_cx,,财新指数,,
index_cci_cx,,财新指数,,
index_li_cx,,财新指数,,
index_neaw_cx,,财新指数,,
index_nei_cx,,财新指数,,
index_ti_cx,,财新指数,,
index_ai_cx,,财新指数,,
index_neei_cx,,财新指数,,
index_bei_cx,,财新指数,,
index_qli_cx,,财新指数,,
option_premium_analysis_em,,期权折溢价分析,,
option_risk_analysis_em,,期权风险分析,,
option_value_analysis_em,,期权价值分析,,
option_lhb_em,,期权龙虎榜,,
stock_gdfx_holding_analyse_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_holding_analyse_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_top_10_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_top_10_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_holding_detail_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_holding_detail_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_holding_change_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_holding_change_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_holding_statistics_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_holding_statistics_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_free_holding_teamwork_em,,东方财富网-数据中心-股东分析,,
stock_gdfx_holding_teamwork_em,,东方财富网-数据中心-股东分析,,
index_sugar_msweet,,中国食糖指数,,
index_inner_quote_sugar_msweet,,中国食糖指数,,
index_outer_quote_sugar_msweet,,中国食糖指数,,
stock_individual_info_em,,东方财富-个股信息,,
spot_hist_sge,,上海黄金交易所-数据资讯-行情走势,,
spot_symbol_table_sge,,上海黄金交易所-数据资讯-行情走势,,
spot_silver_benchmark_sge,,上海黄金交易所-数据资讯-行情走势,,
spot_golden_benchmark_sge,,上海黄金交易所-数据资讯-行情走势,,
spot_quotations_sge,,上海黄金交易所-数据资讯-行情走势,,
stock_repurchase_em,,股票回购,,
stock_board_industry_cons_em,,东方财富-行业板块,,
stock_board_industry_hist_em,,东方财富-行业板块,,
stock_board_industry_hist_min_em,,东方财富-行业板块,,
stock_board_industry_name_em,,东方财富-行业板块,,
stock_board_industry_spot_em,,东方财富-行业板块,,
fund_scale_change_em,,天天基金网-基金数据-规模变动,,
fund_hold_structure_em,,天天基金网-基金数据-规模变动,,
fund_cf_em,,天天基金网-基金数据-分红送配,,
fund_fh_rank_em,,天天基金网-基金数据-分红送配,,
fund_fh_em,,天天基金网-基金数据-分红送配,,
online_value_artist,,艺恩-艺人,,
business_value_artist,,艺恩-艺人,,
video_variety_show,,艺恩-视频放映,,
video_tv,,艺恩-视频放映,,
stock_rank_cxg_ths,,同花顺-数据中心-技术选股,,
stock_rank_cxd_ths,,同花顺-数据中心-技术选股,,
stock_rank_lxsz_ths,,同花顺-数据中心-技术选股,,
stock_rank_lxxd_ths,,同花顺-数据中心-技术选股,,
stock_rank_cxfl_ths,,同花顺-数据中心-技术选股,,
stock_rank_cxsl_ths,,同花顺-数据中心-技术选股,,
stock_rank_xstp_ths,,同花顺-数据中心-技术选股,,
stock_rank_xxtp_ths,,同花顺-数据中心-技术选股,,
stock_rank_ljqd_ths,,同花顺-数据中心-技术选股,,
stock_rank_ljqs_ths,,同花顺-数据中心-技术选股,,
stock_rank_xzjp_ths,,同花顺-数据中心-技术选股,,
stock_hsgt_individual_em,,沪深港通持股,,
stock_hsgt_individual_detail_em,,沪深港通持股,,
stock_hsgt_fund_flow_summary_em,,沪深港通持股,,
fund_scale_open_sina,,基金规模,,
fund_scale_close_sina,,基金规模,,
fund_scale_structured_sina,,基金规模,,
fund_report_stock_cninfo,,巨潮资讯-数据中心-专题统计-基金报表,,
fund_report_industry_allocation_cninfo,,巨潮资讯-数据中心-专题统计-基金报表,,
fund_report_asset_allocation_cninfo,,巨潮资讯-数据中心-专题统计-基金报表,,
bond_treasure_issue_cninfo,,巨潮资讯-数据中心-专题统计-债券报表-债券发行,,
bond_local_government_issue_cninfo,,巨潮资讯-数据中心-专题统计-债券报表-债券发行,,
bond_corporate_issue_cninfo,,巨潮资讯-数据中心-专题统计-债券报表-债券发行,,
bond_cov_issue_cninfo,,巨潮资讯-数据中心-专题统计-债券报表-债券发行,,
bond_cov_stock_issue_cninfo,,巨潮资讯-数据中心-专题统计-债券报表-债券发行,,
stock_cg_equity_mortgage_cninfo,,巨潮资讯-数据中心-专题统计-公司治理-股权质押,,
stock_cg_lawsuit_cninfo,,巨潮资讯-数据中心-专题统计-公司治理-公司诉讼,,
stock_cg_guarantee_cninfo,,巨潮资讯-数据中心-专题统计-公司治理-对外担保,,
stock_zh_b_spot,,B 股,,
stock_zh_b_daily,,B 股,,
stock_zh_b_minute,,B 股,,
futures_comm_info,,期货手续费,,
